timestamp,open,high,low,close,volume
2026-01-01 00:00,18820.58503943616,18821.96863266552,18819.05961255192,18820.58882318508,4020669
2026-01-01 01:00,18820.79968043079,18822.236301934638,18820.524570703943,18821.282432850312,2936608
2026-01-01 02:00,18819.291499913983,18819.683061848315,18819.05720768589,18819.54348049687,848213
2026-01-01 03:00,18820.167977344736,18822.223111488853,18819.553641352064,18820.939189945726,4856467
2026-01-01 04:00,18818.685700327118,18820.282233967424,18818.283386968422,18819.477352433387,1014130
2026-01-01 05:00,18817.84394596128,18820.1397473023,18818.0967384673,18818.744755926342,1363880
2026-01-01 06:00,18819.309704761,18821.986756372276,18819.78495297712,18820.109082525527,508990
2026-01-01 07:00,18819.01191362361,18821.834668904998,18818.12804009408,18819.889070229336,3029429
2026-01-01 08:00,18820.69291009305,18822.369383560348,18819.972209140353,18821.02752792673,118347
2026-01-01 09:00,18820.084490481546,18820.907731336472,18819.480147474853,18820.408338489775,1193168
2026-01-01 10:00,18821.520280202436,18822.687663847155,18821.88588039685,18821.996219785586,3119668
2026-01-01 11:00,18821.623644298455,18823.267937993547,18821.198717402553,18821.69325431002,3038540
2026-01-01 12:00,18822.422288378846,18822.79836198793,18822.050557187285,18822.510678057286,4613734
2026-01-01 13:00,18824.166223828837,18824.327475938604,18822.854929890993,18824.28977082098,1331432
2026-01-01 14:00,18822.686454434726,18823.371693031237,18821.541226655216,18822.997006252263,1564776
2026-01-01 15:00,18822.842203025455,18824.829171484533,18821.66419547614,18823.382787373837,110129
2026-01-01 16:00,18822.035726284434,18824.49188573202,18820.658103761547,18822.62779082132,4659170
2026-01-01 17:00,18821.75086905929,18824.535856938142,18821.861614292848,18822.659408552572,4988027
2026-01-01 18:00,18822.53173878876,18823.332556488174,18822.025175335497,18822.662773469237,3215403
2026-01-01 19:00,18824.529200730663,18825.601511614866,18822.707604217416,18824.55685880933,4781632
2026-01-01 20:00,18823.779362608562,18825.450670277678,18823.187073916553,18824.332437583933,1263233
2026-01-01 21:00,18825.701083181586,18826.27273468776,18823.987535397555,18825.927569477735,2323989
2026-01-01 22:00,18825.237305177245,18826.474661572393,18825.072812529932,18826.200827823875,3911428
2026-01-01 23:00,18823.80655998644,18825.653853413805,18822.9117396481,18824.551519957648,527214
2026-01-02 00:00,18823.033334855896,18823.82062831268,18821.921340303204,18823.110034583333,3627913
2026-01-02 01:00,18822.96018510171,18824.02412982094,18822.893267830706,18823.320147326343,1555366
2026-01-02 02:00,18822.238570231606,18823.805915911555,18822.180402590748,18822.681735838305,2159081
2026-01-02 03:00,18822.7504077109,18824.099747555476,18822.814947485593,18822.868744063475,2908666
2026-01-02 04:00,18821.615020794703,18823.23389695974,18819.97398085053,18821.811028933014,4365853
2026-01-02 05:00,18822.033771937677,18824.447728231895,18822.42329663313,18822.847241029493,4657759
2026-01-02 06:00,18824.29262744775,18826.018430795975,18823.478544589507,18824.608853139587,1377640
2026-01-02 07:00,18822.01197172049,18822.98890441061,18821.546007194425,18822.720394144857,1241198
2026-01-02 08:00,18823.9900380763,18825.050049522175,18823.427121873316,18824.557192115128,3140670
2026-01-02 09:00,18823.830579773665,18825.15712730211,18823.871828949977,18824.561587893488,4335327
2026-01-02 10:00,18825.953582098653,18827.15036532814,18825.704031356076,18826.541098776914,1867793
2026-01-02 11:00,18827.33057536744,18828.29703551236,18826.694288045994,18827.633070929343,412633
2026-01-02 12:00,18825.695724812253,18827.425554381876,18824.819648058885,18826.41170070614,2287259
2026-01-02 13:00,18827.648720731562,18828.81706866524,18827.726518451418,18827.794168975863,436068
